pyName,Prompts
TC066_formal,"as a marketing person, create a Home Loan offer headline in formal tone in less than 64 characters"
TC067_cheerful,"as a marketing person, create a Home Loan offer headline in cheerful tone in less than 64 characters"
TC068_Humorous,"as a marketing person, create a Home Loan offer headline in Humorous tone in less than 64 characters"
TC081_formal,"as a marketing person, create a Retail loan offer headline in formal tone in less than 64 characters"
TC082_cheerful,"as a marketing person, create a Retail loan offer headline in cheerful tone in less than 64 characters"
TC083_Humorous,"as a marketing person, create a Retail loan offer headline in Humorous tone in less than 64 characters"
TC084_formal,"as a marketing person, create a Fixed loan offer headline in formal tone in less than 64 characters"
TC085_cheerful,"as a marketing person, create a Fixed loan offer headline in cheerful tone in less than 64 characters"
TC086_Humorous,"as a marketing person, create a Fixed loan offer headline in Humorous tone in less than 64 characters"
TC069_formal,"as a marketing person, create a Platinum credit card offer headline in formal tone in less than 64 characters"
TC070_cheerful,"as a marketing person, create a Platinum credit card offer headline in cheerful tone in less than 64 characters"
TC071_Humorous,"as a marketing person, create a Platinum credit card offer headline in Humorous tone in less than 64 characters"
TC072_formal,"as a marketing person, create a Travel credit card offer headline in formal tone in less than 64 character"
TC073_cheerful,"as a marketing person, create a Travel credit card offer headline in cheerful tone in less than 64 characters"
TC074_Humorous,"as a marketing person, create a Travel credit card offer headline in Humorous tone in less than 64 characters"
TC063_formal,"as a marketing person, create a Rewards credit card offer headline in formal tone in less than 64 characters"
TC064_cheerful,"as a marketing person, create a Rewards credit card offer headline in cheerful tone in less than 64 characters"
TC065_Humorous,"as a marketing person, create a Rewards credit card offer headline in Humorous tone in less than 64 characters"
TC075_formal,"as a marketing person, create a regular saving offer headline in formal tone in less than 64 characters"
TC076_cheerful,"as a marketing person, create a regular saving offer headline in cheerful tone in less than 64 characters"
TC077_Humorous,"as a marketing person, create a regular saving offer headline in Humorous tone in less than 64 characters"
TC078_formal,"as a marketing person, create a premier saving offer headline in formal tone in less than 64 characters"
TC079_cheerful,"as a marketing person, create a premier saving offer headline in cheerful tone in less than 64 characters"
TC080_Humorous,"as a marketing person, create a premier saving offer headline in Humorous tone in less than 64 characters"
TC087_formal,"as a marketing person, create a ISA saving offer headline in formal tone in less than 64 characters"
TC088_cheerful,"as a marketing person, create a ISA saving offer headline in cheerful tone in less than 64 characters"
TC089_Humorous,"as a marketing person, create a ISA saving offer headline in Humorous tone in less than 64 characters"
TC090_formal,"as a marketing person, create a investment offer headline in formal tone in less than 64 characters"
TC091_cheerful,"as a marketing person, create a investment offer headline in cheerful tone in less than 64 characters"
TC092_Humorous,"as a marketing person, create a investment offer headline in Humorous tone in less than 64 characters"
TC093_formal,"as a marketing person, create a premier investment offer headline in formal tone in less than 64 characters"
TC094_cheerful,"as a marketing person, create a premier investment offer headline in cheerful tone in less than 64 characters"
TC095_Humorous,"as a marketing person, create a premier investment offer headline in Humorous tone in less than 64 characters"
TC096_formal,"as a marketing person, create a Pension investment offer headline in formal tone in less than 64 characters"
TC097_cheerful,"as a marketing person, create a Pension investment offer headline in cheerful tone in less than 64 characters"
TC098_Humorous,"as a marketing person, create a Pension investment offer headline in Humorous tone in less than 64 characters"
